epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.208,2.05562,2.49729,1.72203,0.3129,0.32972,0.24672,0.10005,2.09015,2.08251,1.74655,0.000329749,0.000329749,0.0673548
2,280.655,1.97185,1.97944,1.58318,0.33213,0.39021,0.28219,0.10994,1.96979,2.18336,1.65228,0.000652142,0.000652142,0.0343439
3,444.777,1.94455,1.88941,1.64044,0.34084,0.32133,0.29861,0.11475,1.96966,2.07311,1.71257,0.000963534,0.000963534,0.00132196
4,608.787,1.94039,1.85505,1.67461,0.32459,0.39907,0.31063,0.12189,2.01768,1.98982,1.73845,0.0009505,0.0009505,0.0009505
5,783.864,1.9186,1.75343,1.65369,0.53083,0.33171,0.33911,0.1403,2.03657,1.88526,1.7045,0.000934,0.000934,0.000934
6,923.176,1.86586,1.7046,1.59413,0.40969,0.4166,0.392,0.16157,1.97215,1.88352,1.6596,0.0009175,0.0009175,0.0009175
7,1058.23,1.81594,1.57984,1.52815,0.3263,0.4804,0.33664,0.13395,1.98493,1.72763,1.63772,0.000901,0.000901,0.000901
8,1195.51,1.79478,1.56062,1.49977,0.41002,0.43354,0.3741,0.14676,1.94289,1.68165,1.64498,0.0008845,0.0008845,0.0008845
9,1334.16,1.74892,1.51864,1.50452,0.33851,0.34231,0.33466,0.13719,1.99988,1.72539,1.67406,0.000868,0.000868,0.000868
10,1471.67,1.77241,1.48742,1.51336,0.35106,0.39376,0.33921,0.13321,1.99752,1.79819,1.6787,0.0008515,0.0008515,0.0008515
11,1603.43,1.72905,1.447,1.47745,0.57376,0.36598,0.40773,0.17864,1.96634,1.58572,1.62422,0.000835,0.000835,0.000835
12,1727.66,1.71538,1.39894,1.46649,0.31478,0.44144,0.33566,0.13832,1.98323,1.67204,1.64867,0.0008185,0.0008185,0.0008185
13,1853.47,1.71584,1.39582,1.48959,0.5228,0.43178,0.43857,0.19198,1.97039,1.57722,1.62582,0.000802,0.000802,0.000802
14,1980.09,1.68515,1.36818,1.43807,0.51131,0.36668,0.39548,0.1562,2.02982,1.66171,1.69611,0.0007855,0.0007855,0.0007855
15,2106.74,1.63794,1.2978,1.42432,0.5305,0.40506,0.42724,0.19058,2.00351,1.54294,1.64646,0.000769,0.000769,0.000769
16,2233.43,1.6772,1.33376,1.43465,0.4304,0.41293,0.40429,0.18649,1.98032,1.54988,1.63606,0.0007525,0.0007525,0.0007525
17,2367.96,1.62355,1.27624,1.41866,0.45219,0.40237,0.42437,0.18745,1.96795,1.57542,1.63731,0.000736,0.000736,0.000736
18,2493.79,1.60695,1.2249,1.42143,0.40479,0.39947,0.36577,0.15998,2.00852,1.67163,1.68127,0.0007195,0.0007195,0.0007195
19,2619.21,1.55775,1.18433,1.37186,0.47114,0.41558,0.41594,0.17021,2.00968,1.48631,1.67445,0.000703,0.000703,0.000703
20,2737.71,1.53547,1.16863,1.35261,0.4168,0.45045,0.41595,0.16485,2.03629,1.59529,1.68762,0.0006865,0.0006865,0.0006865
21,2859.54,1.54897,1.16784,1.34803,0.42075,0.47124,0.37366,0.15594,1.98981,1.51143,1.63439,0.00067,0.00067,0.00067
22,2986.37,1.48635,1.11374,1.33225,0.42453,0.46107,0.40771,0.17515,2.02368,1.50395,1.68814,0.0006535,0.0006535,0.0006535
23,3107.35,1.49971,1.11582,1.33443,0.54989,0.38272,0.43365,0.18134,2.00432,1.48909,1.67052,0.000637,0.000637,0.000637
24,3226.76,1.50686,1.11947,1.34194,0.38696,0.41304,0.3921,0.17178,2.0346,1.48908,1.67835,0.0006205,0.0006205,0.0006205
25,3342.88,1.47908,1.04375,1.31924,0.39216,0.42733,0.40878,0.17434,1.98157,1.464,1.65124,0.000604,0.000604,0.000604
26,3463.57,1.47807,1.03533,1.30599,0.39631,0.44799,0.39654,0.16042,2.01052,1.54505,1.65835,0.0005875,0.0005875,0.0005875
27,3583.47,1.45268,1.05336,1.30644,0.4928,0.45453,0.43726,0.17866,2.0226,1.48031,1.68375,0.000571,0.000571,0.000571
28,3702.77,1.43295,1.00966,1.27391,0.47643,0.41178,0.44505,0.18457,2.00678,1.49282,1.6933,0.0005545,0.0005545,0.0005545
29,3857.07,1.36614,0.93177,1.25954,0.46011,0.52316,0.49244,0.21643,2.01235,1.44163,1.6365,0.000538,0.000538,0.000538
30,3990.38,1.40208,0.96844,1.27843,0.42124,0.4849,0.43255,0.18565,1.99606,1.45104,1.69545,0.0005215,0.0005215,0.0005215
31,4138.1,1.38851,0.93053,1.23555,0.48631,0.44896,0.43564,0.18028,2.06328,1.44752,1.72769,0.000505,0.000505,0.000505
32,4286.91,1.35925,0.92639,1.24543,0.43794,0.5052,0.42734,0.18474,2.07825,1.44992,1.73647,0.0004885,0.0004885,0.0004885
33,4421.56,1.35576,0.92247,1.23534,0.43649,0.48822,0.47698,0.18857,2.034,1.41983,1.70948,0.000472,0.000472,0.000472
34,4570.26,1.36831,0.90298,1.23066,0.55461,0.45624,0.4699,0.19021,2.06457,1.48111,1.70008,0.0004555,0.0004555,0.0004555
35,4710.3,1.32314,0.87903,1.24264,0.53151,0.38975,0.44773,0.20198,2.01901,1.37309,1.68807,0.000439,0.000439,0.000439
36,4824.69,1.30041,0.88004,1.21627,0.40398,0.50984,0.44927,0.19563,2.05653,1.3971,1.70452,0.0004225,0.0004225,0.0004225
37,4939.92,1.29402,0.84688,1.20875,0.48436,0.35885,0.40985,0.15749,2.07239,1.44804,1.73456,0.000406,0.000406,0.000406
38,5054.31,1.2555,0.82429,1.18281,0.4036,0.51738,0.43725,0.18671,2.04592,1.44553,1.76441,0.0003895,0.0003895,0.0003895
39,5165.82,1.25253,0.8249,1.19071,0.43653,0.44212,0.39879,0.1698,2.03806,1.44903,1.71389,0.000373,0.000373,0.000373
40,5271.83,1.2502,0.82319,1.18713,0.41443,0.5097,0.44475,0.18432,2.0277,1.43197,1.72396,0.0003565,0.0003565,0.0003565
41,5384.52,1.21726,0.79649,1.17976,0.54615,0.36287,0.42565,0.18152,2.06842,1.44281,1.74907,0.00034,0.00034,0.00034
42,5497.32,1.21227,0.77577,1.15929,0.48274,0.51435,0.46554,0.20056,2.06562,1.4087,1.75601,0.0003235,0.0003235,0.0003235
43,5607.59,1.18474,0.75544,1.15607,0.43626,0.48321,0.44658,0.18811,2.0543,1.44376,1.76447,0.000307,0.000307,0.000307
44,5729.04,1.18322,0.76216,1.14956,0.50928,0.45788,0.45675,0.19508,2.0617,1.44532,1.76934,0.0002905,0.0002905,0.0002905
45,5839.12,1.14576,0.72841,1.13022,0.47047,0.55074,0.47998,0.20238,2.05305,1.43117,1.74842,0.000274,0.000274,0.000274
46,5943.75,1.17202,0.73139,1.1292,0.4021,0.46311,0.4276,0.19108,2.04137,1.4159,1.71277,0.0002575,0.0002575,0.0002575
