epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.7025,1.46446,1.08437,1.30132,0.41566,0.41984,0.40424,0.16383,2.11683,1.57524,1.7938,0.000329749,0.000329749,0.0673548
2,187.065,1.42784,1.03998,1.28117,0.52807,0.39231,0.42493,0.16073,2.059,1.47842,1.72222,0.000652142,0.000652142,0.0343439
3,283.048,1.436,1.05985,1.29408,0.47593,0.41773,0.39511,0.1509,2.10627,1.66845,1.82202,0.000963534,0.000963534,0.00132196
4,380.814,1.48342,1.08319,1.33337,0.3578,0.40376,0.36756,0.15871,2.05284,1.56335,1.72847,0.0009505,0.0009505,0.0009505
5,484.024,1.49148,1.09087,1.3287,0.53664,0.34724,0.36899,0.14062,2.04347,1.634,1.72875,0.000934,0.000934,0.000934
6,593.906,1.46481,1.08165,1.31519,0.4095,0.38636,0.35245,0.13825,2.06642,1.61354,1.70571,0.0009175,0.0009175,0.0009175
7,701.967,1.45212,1.04875,1.28537,0.45081,0.41436,0.40284,0.16103,2.09043,1.47303,1.75892,0.000901,0.000901,0.000901
8,816.796,1.40484,1.00951,1.27311,0.38712,0.53712,0.4253,0.18268,2.03269,1.5837,1.68313,0.0008845,0.0008845,0.0008845
9,925.078,1.38122,0.97288,1.26877,0.44106,0.42802,0.41536,0.16283,2.10203,1.55745,1.79651,0.000868,0.000868,0.000868
10,1036.32,1.39756,0.96711,1.26854,0.40122,0.42875,0.39433,0.15611,2.03636,1.56916,1.73239,0.0008515,0.0008515,0.0008515
11,1148.21,1.38025,0.961,1.26163,0.44487,0.40682,0.40007,0.17492,2.10815,1.53486,1.80282,0.000835,0.000835,0.000835
12,1260.99,1.38447,0.93565,1.25455,0.48608,0.47462,0.4341,0.1783,2.07817,1.51574,1.76222,0.0008185,0.0008185,0.0008185
13,1373.18,1.36387,0.95473,1.26631,0.45835,0.46748,0.41697,0.17845,2.10065,1.56352,1.73077,0.000802,0.000802,0.000802
14,1483.89,1.34987,0.91228,1.22623,0.4405,0.50003,0.40722,0.17306,2.05348,1.54582,1.7423,0.0007855,0.0007855,0.0007855
15,1597.31,1.31582,0.90396,1.22277,0.54891,0.47029,0.46652,0.20263,2.04065,1.5013,1.72579,0.000769,0.000769,0.000769
16,1707.78,1.35357,0.93582,1.23458,0.46994,0.38068,0.4061,0.17323,2.06007,1.48519,1.71783,0.0007525,0.0007525,0.0007525
17,1817.03,1.30256,0.8688,1.22344,0.46045,0.40205,0.40417,0.1745,2.04706,1.46086,1.74778,0.000736,0.000736,0.000736
18,1933.29,1.29902,0.86309,1.23084,0.40778,0.45675,0.39839,0.17708,2.07025,1.4632,1.76114,0.0007195,0.0007195,0.0007195
19,2045.86,1.26402,0.83446,1.18929,0.45354,0.51708,0.42249,0.18018,2.0688,1.4485,1.7235,0.000703,0.000703,0.000703
20,2158.11,1.27918,0.83872,1.1809,0.4256,0.48244,0.42692,0.19502,2.05806,1.46764,1.71969,0.0006865,0.0006865,0.0006865
21,2274.59,1.27198,0.83718,1.17719,0.54204,0.39805,0.40623,0.16319,2.19157,1.52116,1.84697,0.00067,0.00067,0.00067
22,2386.88,1.21679,0.80842,1.15546,0.53032,0.44907,0.45401,0.19474,2.08596,1.44665,1.75784,0.0006535,0.0006535,0.0006535
23,2500.17,1.23448,0.8093,1.17784,0.44627,0.47547,0.42812,0.18905,2.0863,1.52409,1.77311,0.000637,0.000637,0.000637
24,2611.21,1.24184,0.81612,1.18006,0.44428,0.49517,0.39339,0.16685,2.07375,1.45819,1.75826,0.0006205,0.0006205,0.0006205
25,2725.84,1.21678,0.77559,1.16024,0.45169,0.53425,0.4424,0.18552,2.11393,1.49466,1.78251,0.000604,0.000604,0.000604
26,2852.02,1.22379,0.78018,1.1537,0.53221,0.44246,0.43986,0.18044,2.05289,1.48036,1.70593,0.0005875,0.0005875,0.0005875
27,2971.21,1.20465,0.76297,1.15982,0.4961,0.55824,0.46729,0.20277,2.03526,1.47235,1.69674,0.000571,0.000571,0.000571
28,3087.11,1.19158,0.75181,1.13773,0.439,0.53369,0.4553,0.19934,2.0612,1.45297,1.75966,0.0005545,0.0005545,0.0005545
29,3200.17,1.14333,0.72832,1.12898,0.48317,0.57643,0.50131,0.21607,2.08427,1.46486,1.77197,0.000538,0.000538,0.000538
30,3313.2,1.1798,0.74709,1.15613,0.47763,0.53898,0.45546,0.19115,2.07747,1.45573,1.78281,0.0005215,0.0005215,0.0005215
31,3428.44,1.16763,0.72829,1.11938,0.49166,0.50258,0.48107,0.19839,2.10046,1.45313,1.81036,0.000505,0.000505,0.000505
32,3539.78,1.17978,0.73755,1.13528,0.50479,0.50076,0.4609,0.20113,2.08382,1.40891,1.76813,0.0004885,0.0004885,0.0004885
33,3652.89,1.17741,0.73568,1.13782,0.48689,0.50047,0.45377,0.20203,2.08427,1.49491,1.78283,0.000472,0.000472,0.000472
34,3766.7,1.18513,0.73193,1.13544,0.48496,0.41591,0.44029,0.18725,2.12623,1.45215,1.80347,0.0004555,0.0004555,0.0004555
35,3882.8,1.14552,0.71577,1.14314,0.45853,0.43433,0.41898,0.17745,2.1037,1.41956,1.80195,0.000439,0.000439,0.000439
36,3999.56,1.12499,0.70415,1.12241,0.43545,0.56201,0.4555,0.18617,2.0837,1.45835,1.78761,0.0004225,0.0004225,0.0004225
37,4141.02,1.13253,0.69757,1.11596,0.53847,0.47505,0.45898,0.18963,2.06972,1.38659,1.79749,0.000406,0.000406,0.000406
38,4266.34,1.09587,0.678,1.09356,0.49459,0.48422,0.46675,0.19152,2.07137,1.51226,1.79189,0.0003895,0.0003895,0.0003895
39,4389.99,1.07991,0.6719,1.09895,0.57695,0.47022,0.47415,0.19402,2.09025,1.4719,1.7956,0.000373,0.000373,0.000373
40,4532.53,1.09258,0.66921,1.09247,0.53498,0.51151,0.47446,0.19377,2.09291,1.45288,1.8005,0.0003565,0.0003565,0.0003565
41,4651.14,1.06731,0.66119,1.09651,0.51778,0.52246,0.45741,0.19168,2.09678,1.48866,1.81516,0.00034,0.00034,0.00034
42,4769.34,1.04966,0.64355,1.07422,0.60735,0.40982,0.46775,0.1941,2.10665,1.42931,1.7964,0.0003235,0.0003235,0.0003235
43,4889.23,1.02442,0.62603,1.06827,0.50892,0.48969,0.47873,0.20266,2.07757,1.4339,1.78996,0.000307,0.000307,0.000307
44,5009.15,1.03681,0.64611,1.07254,0.57621,0.48681,0.48795,0.20867,2.08108,1.46163,1.80265,0.0002905,0.0002905,0.0002905
45,5131.4,0.99406,0.61559,1.05357,0.45511,0.51981,0.46637,0.20394,2.07306,1.46833,1.83775,0.000274,0.000274,0.000274
46,5259.11,1.02839,0.61245,1.06102,0.51488,0.43377,0.44903,0.1968,2.06397,1.41951,1.82938,0.0002575,0.0002575,0.0002575
47,5400.72,1.01724,0.63185,1.07074,0.58384,0.40506,0.47279,0.20312,2.07353,1.43234,1.80317,0.000241,0.000241,0.000241
48,5527.42,1.00332,0.60415,1.05261,0.42138,0.54488,0.46864,0.20646,2.07151,1.40875,1.83022,0.0002245,0.0002245,0.0002245
49,5647.05,0.99064,0.5926,1.03761,0.4525,0.49257,0.46557,0.19954,2.09029,1.40526,1.81325,0.000208,0.000208,0.000208
